,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
3024,George Lucas,Peter Cushing,Action Adventure Fantasy Sci-Fi,Harrison Ford,Star Wars: Episode IV - A New Hope,Kenny Baker,George Lucas Peter Cushing Harrison Ford Action Adventure Fantasy Sci-Fi Kenny Baker
3025,Dan Mazer,Zoey Deutch,Comedy,Robert De Niro,Dirty Grandpa,Jason Mantzoukas,Dan Mazer Zoey Deutch Robert De Niro Comedy Jason Mantzoukas
3026,David Lean,Klaus Kinski,Drama Romance War,Julie Christie,Doctor Zhivago,Geraldine Chaplin,David Lean Klaus Kinski Julie Christie Drama Romance War Geraldine Chaplin
3027,Stephen Daldry,Selton Mello,Adventure Crime Drama Mystery Thriller,Wagner Moura,Trash,Daniel Zettel,Stephen Daldry Selton Mello Wagner Moura Adventure Crime Drama Mystery Thriller Daniel Zettel
3028,Kenny Ortega,Matt Prokop,Comedy Drama Family Music Musical Romance,Lucas Grabeel,High School Musical 3: Senior Year,Corbin Bleu,Kenny Ortega Matt Prokop Lucas Grabeel Comedy Drama Family Music Musical Romance Corbin Bleu
3029,David O. Russell,Jack McGee,Biography Drama Sport,Christian Bale,The Fighter,Melissa McMeekin,David O. Russell Jack McGee Christian Bale Biography Drama Sport Melissa McMeekin
3030,Jeff Tremaine,Steve-O,Action Comedy Documentary,Bam Margera,Jackass Number Two,Chris Pontius,Jeff Tremaine Steve-O Bam Margera Action Comedy Documentary Chris Pontius
3031,Jonathan Lynn,Bruce McGill,Comedy Crime,Fred Gwynne,My Cousin Vinny,Lane Smith,Jonathan Lynn Bruce McGill Fred Gwynne Comedy Crime Lane Smith
3032,R.J. Cutler,Mireille Enos,Drama Fantasy Music Romance,Chloë Grace Moretz,If I Stay,Stacy Keach,R.J. Cutler Mireille Enos Chloë Grace Moretz Drama Fantasy Music Romance Stacy Keach
3033,Brian Trenchard-Smith,Damien Garvey,Action Comedy Crime,Zoe Ventoura,Drive Hard,Christopher Sommers,Brian Trenchard-Smith Damien Garvey Zoe Ventoura Action Comedy Crime Christopher Sommers
3034,David S. Ward,Tom Berenger,Comedy Sport,Corbin Bernsen,Major League,Rene Russo,David S. Ward Tom Berenger Corbin Bernsen Comedy Sport Rene Russo
3035,Oliver Parker,Rupert Everett,Comedy,Lily Cole,St. Trinian's,Tamsin Egerton,Oliver Parker Rupert Everett Lily Cole Comedy Tamsin Egerton
3036,Joel Schumacher,John Enos III,Crime Thriller,Radha Mitchell,Phone Booth,Richard T. Jones,Joel Schumacher John Enos III Radha Mitchell Crime Thriller Richard T. Jones
3037,Adam Shankman,Peter Coyote,Drama Romance,Lauren German,A Walk to Remember,Paz de la Huerta,Adam Shankman Peter Coyote Lauren German Drama Romance Paz de la Huerta
3038,Tim Robbins,Celia Weston,Crime Drama,Lois Smith,Dead Man Walking,Robert Prosky,Tim Robbins Celia Weston Lois Smith Crime Drama Robert Prosky
3039,Roger Kumble,Sean Patrick Thomas,Drama Romance,Sarah Michelle Gellar,Cruel Intentions,Eric Mabius,Roger Kumble Sean Patrick Thomas Sarah Michelle Gellar Drama Romance Eric Mabius
3040,Kevin Greutert,Shawnee Smith,Horror Mystery,Costas Mandylor,Saw VI,George Newbern,Kevin Greutert Shawnee Smith Costas Mandylor Horror Mystery George Newbern
3041,Mel Brooks,Sid Caesar,Comedy,Madeline Kahn,History of the World: Part I,Dom DeLuise,Mel Brooks Sid Caesar Madeline Kahn Comedy Dom DeLuise
3042,Gina Prince-Bythewood,Alicia Keys,Drama,Nate Parker,The Secret Life of Bees,Jennifer Hudson,Gina Prince-Bythewood Alicia Keys Nate Parker Drama Jennifer Hudson
3043,Rob Pritts,Vinessa Shaw,Comedy Crime,Vincent Pastore,Corky Romano,Peter Berg,Rob Pritts Vinessa Shaw Vincent Pastore Comedy Crime Peter Berg
3044,Brian De Palma,Gabrielle Carteris,Crime Drama Thriller,Steven Bauer,Raising Cain,Gregg Henry,Brian De Palma Gabrielle Carteris Steven Bauer Crime Drama Thriller Gregg Henry
3045,Norman Jewison,Peter Boyle,Drama,Sylvester Stallone,F.I.S.T.,Rod Steiger,Norman Jewison Peter Boyle Sylvester Stallone Drama Rod Steiger
3046,Tobe Hooper,Bud Cort,Horror Sci-Fi,Louise Fletcher,Invaders from Mars,William Bassett,Tobe Hooper Bud Cort Louise Fletcher Horror Sci-Fi William Bassett
3047,John Crowley,Fiona Glascott,Drama Romance,Julie Walters,Brooklyn,Eva Birthistle,John Crowley Fiona Glascott Julie Walters Drama Romance Eva Birthistle
3048,Stanley Kubrick,Steven Berkoff,Adventure Drama History War,Ryan O'Neal,Barry Lyndon,Hardy Krüger,Stanley Kubrick Steven Berkoff Ryan O'Neal Adventure Drama History War Hardy Krüger
3049,Brendan Malloy,Jason London,Comedy Sport,Lee Majors,Out Cold,Thomas Lennon,Brendan Malloy Jason London Lee Majors Comedy Sport Thomas Lennon
3050,Reginald Hudlin,John Witherspoon,Comedy,Will Ferrell,The Ladies Man,Tim Meadows,Reginald Hudlin John Witherspoon Will Ferrell Comedy Tim Meadows
3051,Dustin Hoffman,Sheridan Smith,Comedy Drama,Luke Newberry,Quartet,Pauline Collins,Dustin Hoffman Sheridan Smith Luke Newberry Comedy Drama Pauline Collins
3052,Gregory Poirier,Jake Busey,Comedy,Shannon Elizabeth,Tomcats,David Ogden Stiers,Gregory Poirier Jake Busey Shannon Elizabeth Comedy David Ogden Stiers
3053,Bill Paxton,Powers Boothe,Crime Drama Thriller,Matthew McConaughey,Frailty,Matt O'Leary,Bill Paxton Powers Boothe Matthew McConaughey Crime Drama Thriller Matt O'Leary
3054,Simon Curtis,Frances Fisher,Biography Drama History,Ryan Reynolds,Woman in Gold,Elizabeth McGovern,Simon Curtis Frances Fisher Ryan Reynolds Biography Drama History Elizabeth McGovern
3055,Bill Condon,Oliver Platt,Biography Drama,Liam Neeson,Kinsey,Dylan Baker,Bill Condon Oliver Platt Liam Neeson Biography Drama Dylan Baker
3056,Sam Raimi,Bridget Fonda,Comedy Fantasy Horror,Patricia Tallman,Army of Darkness,Embeth Davidtz,Sam Raimi Bridget Fonda Patricia Tallman Comedy Fantasy Horror Embeth Davidtz
3057,Dewey Nicks,Gedde Watanabe,Comedy Romance,Jaime King,Slackers,Jim Rash,Dewey Nicks Gedde Watanabe Jaime King Comedy Romance Jim Rash
3058,Lasse Hallström,Leonardo DiCaprio,Drama Romance,Johnny Depp,What's Eating Gilbert Grape,Kevin Tighe,Lasse Hallström Leonardo DiCaprio Johnny Depp Drama Romance Kevin Tighe
3059,Philip Saville,Alan Van Sprang,Biography Drama History,Henry Ian Cusick,The Visual Bible: The Gospel of John,Scott Handy,Philip Saville Alan Van Sprang Henry Ian Cusick Biography Drama History Scott Handy
3060,Mike Leigh,Sally Hawkins,Crime Drama,Eddie Marsan,Vera Drake,Imelda Staunton,Mike Leigh Sally Hawkins Eddie Marsan Crime Drama Imelda Staunton
3061,Daisy von Scherler Mayer,Dash Mihok,Comedy Music Romance,Michael McKean,The Guru,Jimi Mistry,Daisy von Scherler Mayer Dash Mihok Michael McKean Comedy Music Romance Jimi Mistry
3062,Mira Nair,Chazz Palminteri,Comedy Drama Romance,Anjelica Huston,The Perez Family,Vincent Gallo,Mira Nair Chazz Palminteri Anjelica Huston Comedy Drama Romance Vincent Gallo
3063,Ethan Coen,Max Casella,Drama Music,Justin Timberlake,Inside Llewyn Davis,Alex Karpovsky,Ethan Coen Max Casella Justin Timberlake Drama Music Alex Karpovsky
3064,Tim Blake Nelson,Andrew Keegan,Drama Romance Thriller,Mekhi Phifer,O,John Heard,Tim Blake Nelson Andrew Keegan Mekhi Phifer Drama Romance Thriller John Heard
3065,William A. Graham,Wayne Pygram,Adventure Drama Romance,Milla Jovovich,Return to the Blue Lagoon,Lisa Pelikan,William A. Graham Wayne Pygram Milla Jovovich Adventure Drama Romance Lisa Pelikan
3066,Martin Ritt,Anthony Zerbe,Drama History,Frank Finlay,The Molly Maguires,Samantha Eggar,Martin Ritt Anthony Zerbe Frank Finlay Drama History Samantha Eggar
3067,John Turturro,Steve Buscemi,Comedy Musical Romance,Kate Winslet,Romance & Cigarettes,Eddie Izzard,John Turturro Steve Buscemi Kate Winslet Comedy Musical Romance Eddie Izzard
3068,Agnieszka Holland,David Kennedy,Biography Drama Music,Phyllida Law,Copying Beethoven,Angus Barnett,Agnieszka Holland David Kennedy Phyllida Law Biography Drama Music Angus Barnett
3069,Tobe Hooper,Zelda Rubinstein,Fantasy Horror,Heather O'Rourke,Poltergeist,Craig T. Nelson,Tobe Hooper Zelda Rubinstein Heather O'Rourke Fantasy Horror Craig T. Nelson
3070,Rowan Joffe,Sean Harris,Crime Drama Thriller,Sam Riley,Brighton Rock,Geoff Bell,Rowan Joffe Sean Harris Sam Riley Crime Drama Thriller Geoff Bell
3071,David Hackl,Costas Mandylor,Horror Mystery,Julie Benz,Saw V,Scott Patterson,David Hackl Costas Mandylor Julie Benz Horror Mystery Scott Patterson
3072,Giuliano Montaldo,Gena Rowlands,Crime Drama Thriller,John Cassavetes,Machine Gun McCain,Britt Ekland,Giuliano Montaldo Gena Rowlands John Cassavetes Crime Drama Thriller Britt Ekland
3073,Lisa Azuelos,Lina Esco,Comedy Drama Romance,Nora Dunn,LOL,Alix Freihage,Lisa Azuelos Lina Esco Nora Dunn Comedy Drama Romance Alix Freihage
3074,Ray Lawrence,Deborra-Lee Furness,Crime Drama Mystery Thriller,John Howard,Jindabyne,Max Cullen,Ray Lawrence Deborra-Lee Furness John Howard Crime Drama Mystery Thriller Max Cullen
3075,Karan Johar,John Abraham,Drama,Shah Rukh Khan,Kabhi Alvida Naa Kehna,Preity Zinta,Karan Johar John Abraham Shah Rukh Khan Drama Preity Zinta
3076,Oliver Parker,Rupert Everett,Comedy Romance,Minnie Driver,An Ideal Husband,Jeremy Northam,Oliver Parker Rupert Everett Minnie Driver Comedy Romance Jeremy Northam
3077,Ruairi Robinson,Olivia Williams,Horror Sci-Fi Thriller,Romola Garai,The Last Days on Mars,Tom Cullen,Ruairi Robinson Olivia Williams Romola Garai Horror Sci-Fi Thriller Tom Cullen
3078,Jaume Balagueró,Giancarlo Giannini,Horror,Lena Olin,Darkness,Francesc Pagès,Jaume Balagueró Giancarlo Giannini Lena Olin Horror Francesc Pagès
3079,Stanley Kubrick,Gary Lockwood,Adventure Mystery Sci-Fi,Keir Dullea,2001: A Space Odyssey,Glenn Beck,Stanley Kubrick Gary Lockwood Keir Dullea Adventure Mystery Sci-Fi Glenn Beck
3080,Steven Spielberg,Dee Wallace,Family Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial,Peter Coyote,Steven Spielberg Dee Wallace Henry Thomas Family Sci-Fi Peter Coyote
3081,Jon Kasdan,Elena Anaya,Comedy Drama Romance,Kristen Stewart,In the Land of Women,Dustin Milligan,Jon Kasdan Elena Anaya Kristen Stewart Comedy Drama Romance Dustin Milligan
3082,Léa Pool,Marc Donato,Adventure Drama,William Hurt,The Blue Butterfly,Raoul Max Trujillo,Léa Pool Marc Donato William Hurt Adventure Drama Raoul Max Trujillo
3083,Floyd Mutrux,Kelli Williams,Comedy Drama,Ricky Schroder,There Goes My Baby,Seymour Cassel,Floyd Mutrux Kelli Williams Ricky Schroder Comedy Drama Seymour Cassel
3085,Sajid Khan,Boman Irani,Comedy,Arjun Rampal,Housefull,Riteish Deshmukh,Sajid Khan Boman Irani Arjun Rampal Comedy Riteish Deshmukh
3086,Christopher Cain,Taylor Handley,Drama History Romance Western,Jon Gries,September Dawn,Trent Ford,Christopher Cain Taylor Handley Jon Gries Drama History Romance Western Trent Ford
3087,Dean Wright,Eduardo Verástegui,Drama History War,Santiago Cabrera,For Greater Glory: The True Story of Cristiada,Catalina Sandino Moreno,Dean Wright Eduardo Verástegui Santiago Cabrera Drama History War Catalina Sandino Moreno
3088,Eric Lartigau,Eric Elmosnino,Comedy Drama Music,Karin Viard,La Famille Bélier,François Damiens,Eric Lartigau Eric Elmosnino Karin Viard Comedy Drama Music François Damiens
3089,Gus Van Sant,Matt Damon,Drama,Robin Williams,Good Will Hunting,Minnie Driver,Gus Van Sant Matt Damon Robin Williams Drama Minnie Driver
3090,Shintaro Shimosawa,Anthony Hopkins,Drama Thriller,Al Pacino,Misconduct,Glen Powell,Shintaro Shimosawa Anthony Hopkins Al Pacino Drama Thriller Glen Powell
3091,Darren Lynn Bousman,Shawnee Smith,Horror Mystery,Costas Mandylor,Saw III,Leigh Whannell,Darren Lynn Bousman Shawnee Smith Costas Mandylor Horror Mystery Leigh Whannell
3092,Ivan Reitman,Harold Ramis,Action Comedy War,Bill Murray,Stripes,Judge Reinhold,Ivan Reitman Harold Ramis Bill Murray Action Comedy War Judge Reinhold
3093,Peyton Reed,Lindsay Sloane,Comedy Sport,Kirsten Dunst,Bring It On,Clare Kramer,Peyton Reed Lindsay Sloane Kirsten Dunst Comedy Sport Clare Kramer
3094,James DeMonaco,Joseph Julian Soria,Action Horror Sci-Fi Thriller,Frank Grillo,The Purge: Election Year,Mykelti Williamson,James DeMonaco Joseph Julian Soria Frank Grillo Action Horror Sci-Fi Thriller Mykelti Williamson
3095,Robert Iscove,Clea DuVall,Comedy Romance,Paul Walker,She's All That,Kieran Culkin,Robert Iscove Clea DuVall Paul Walker Comedy Romance Kieran Culkin
3096,Lee Daniels,Gabourey Sidibe,Drama,Mo'Nique,Precious,Mariah Carey,Lee Daniels Gabourey Sidibe Mo'Nique Drama Mariah Carey
3097,Darren Lynn Bousman,Shawnee Smith,Horror Mystery,Costas Mandylor,Saw IV,Angus Macfadyen,Darren Lynn Bousman Shawnee Smith Costas Mandylor Horror Mystery Angus Macfadyen
3098,Geoffrey Sax,Keegan Connor Tracy,Drama Horror Mystery Thriller,Deborah Kara Unger,White Noise,Mike Dopud,Geoffrey Sax Keegan Connor Tracy Deborah Kara Unger Drama Horror Mystery Thriller Mike Dopud
3099,Tyler Perry,Cicely Tyson,Comedy Drama Romance,Boris Kodjoe,Madea's Family Reunion,Blair Underwood,Tyler Perry Cicely Tyson Boris Kodjoe Comedy Drama Romance Blair Underwood
3100,Martin Scorsese,Bill Cobbs,Drama Sport,Tom Cruise,The Color of Money,Mary Elizabeth Mastrantonio,Martin Scorsese Bill Cobbs Tom Cruise Drama Sport Mary Elizabeth Mastrantonio
3101,Ken Annakin,Richard Beymer,Action Drama History War,Richard Burton,The Longest Day,Eddie Albert,Ken Annakin Richard Beymer Richard Burton Action Drama History War Eddie Albert
3102,Stephen Herek,Shaun Weiss,Comedy Drama Family Sport,Lane Smith,The Mighty Ducks,Elden Henson,Stephen Herek Shaun Weiss Lane Smith Comedy Drama Family Sport Elden Henson
3103,Takashi Shimizu,Clea DuVall,Horror Mystery Thriller,Sarah Michelle Gellar,The Grudge,Ted Raimi,Takashi Shimizu Clea DuVall Sarah Michelle Gellar Horror Mystery Thriller Ted Raimi
3104,Dennis Dugan,Kevin Nealon,Comedy Sport,Adam Sandler,Happy Gilmore,Frances Bay,Dennis Dugan Kevin Nealon Adam Sandler Comedy Sport Frances Bay
3105,Victor Salva,Patricia Belcher,Horror Mystery,Eileen Brennan,Jeepers Creepers,Jonathan Breck,Victor Salva Patricia Belcher Eileen Brennan Horror Mystery Jonathan Breck
3106,Stephen Herek,George Carlin,Adventure Comedy Music Sci-Fi,Keanu Reeves,Bill & Ted's Excellent Adventure,Al Leong,Stephen Herek George Carlin Keanu Reeves Adventure Comedy Music Sci-Fi Al Leong
3107,Carol Reed,Ron Moody,Drama Family Musical,Oliver Reed,Oliver!,Jack Wild,Carol Reed Ron Moody Oliver Reed Drama Family Musical Jack Wild
3108,John Madden,Penelope Wilton,Comedy Drama,Tom Wilkinson,The Best Exotic Marigold Hotel,Celia Imrie,John Madden Penelope Wilton Tom Wilkinson Comedy Drama Celia Imrie
3109,Chuck Sheetz,Andrew Lawrence,Animation Comedy Family Mystery Sci-Fi,Diedrich Bader,Recess: School's Out,Dabney Coleman,Chuck Sheetz Andrew Lawrence Diedrich Bader Animation Comedy Family Mystery Sci-Fi Dabney Coleman
3110,George Miller,Bruce Spence,Action Adventure Sci-Fi Thriller,Tina Turner,Mad Max Beyond Thunderdome,Angelo Rossitto,George Miller Bruce Spence Tina Turner Action Adventure Sci-Fi Thriller Angelo Rossitto
3111,Mark L. Lester,Vernon Wells,Action Adventure Thriller,Bill Duke,Commando,Rae Dawn Chong,Mark L. Lester Vernon Wells Bill Duke Action Adventure Thriller Rae Dawn Chong
3112,William Brent Bell,Rupert Evans,Horror Mystery Thriller,Lauren Cohan,The Boy,Stephanie Lemelin,William Brent Bell Rupert Evans Lauren Cohan Horror Mystery Thriller Stephanie Lemelin
3113,John Erick Dowdle,Bokeem Woodbine,Horror Mystery Thriller,Bojana Novakovic,Devil,Geoffrey Arend,John Erick Dowdle Bokeem Woodbine Bojana Novakovic Horror Mystery Thriller Geoffrey Arend
3114,Marcus Raboy,Mike Epps,Comedy Drama,John Witherspoon,Friday After Next,Katt Williams,Marcus Raboy Mike Epps John Witherspoon Comedy Drama Katt Williams
3115,Leigh Whannell,Hayley Kiyoko,Fantasy Horror Thriller,Lin Shaye,Insidious: Chapter 3,Leigh Whannell,Leigh Whannell Hayley Kiyoko Lin Shaye Fantasy Horror Thriller Leigh Whannell
3116,Michael Schultz,Vanity,Action Comedy Drama Music,Mike Starr,The Last Dragon,Keshia Knight Pulliam,Michael Schultz Vanity Mike Starr Action Comedy Drama Music Keshia Knight Pulliam
3117,Guy Ritchie,Brad Pitt,Comedy Crime,Jason Statham,Snatch,Jason Flemyng,Guy Ritchie Brad Pitt Jason Statham Comedy Crime Jason Flemyng
3118,Brett Leonard,Austin O'Brien,Horror Sci-Fi,Jeff Fahey,The Lawnmower Man,Troy Evans,Brett Leonard Austin O'Brien Jeff Fahey Horror Sci-Fi Troy Evans
3119,Peter Sollett,Alexis Dziena,Comedy Drama Music Romance,Ari Graynor,Nick and Norah's Infinite Playlist,Aaron Yoo,Peter Sollett Alexis Dziena Ari Graynor Comedy Drama Music Romance Aaron Yoo
3120,Kevin Smith,Janeane Garofalo,Adventure Comedy Drama Fantasy,Matt Damon,Dogma,George Carlin,Kevin Smith Janeane Garofalo Matt Damon Adventure Comedy Drama Fantasy George Carlin
3121,Bob Dolman,Eva Amurri Martino,Comedy Drama,Erika Christensen,The Banger Sisters,Sal Lopez,Bob Dolman Eva Amurri Martino Erika Christensen Comedy Drama Sal Lopez
3122,Joe Dante,Al Leong,Fantasy Horror Sci-Fi,Albert Brooks,Twilight Zone: The Movie,Vic Morrow,Joe Dante Al Leong Albert Brooks Fantasy Horror Sci-Fi Vic Morrow
3123,Rowdy Herrington,Kevin Tighe,Action Thriller,Ben Gazzara,Road House,Kelly Lynch,Rowdy Herrington Kevin Tighe Ben Gazzara Action Thriller Kelly Lynch
3124,Keenen Ivory Wayans,Salli Richardson-Whitfield,Action Comedy Crime,Jada Pinkett Smith,A Low Down Dirty Shame,Charles S. Dutton,Keenen Ivory Wayans Salli Richardson-Whitfield Jada Pinkett Smith Action Comedy Crime Charles S. Dutton
3125,John Polson,Shiri Appleby,Drama Thriller,Erika Christensen,Swimfan,Jason Ritter,John Polson Shiri Appleby Erika Christensen Drama Thriller Jason Ritter
3126,Greg Coolidge,Danny Woodburn,Comedy Romance,Dane Cook,Employee of the Month,Jessica Simpson,Greg Coolidge Danny Woodburn Dane Cook Comedy Romance Jessica Simpson
3127,Harry Elfont,Lauren Ambrose,Comedy Romance,Ethan Embry,Can't Hardly Wait,Charlie Korsmo,Harry Elfont Lauren Ambrose Ethan Embry Comedy Romance Charlie Korsmo
3128,Francis Ford Coppola,William Smith,Crime Drama,Tom Cruise,The Outsiders,Tom Waits,Francis Ford Coppola William Smith Tom Cruise Crime Drama Tom Waits
3129,David Lowery,Oona Laurence,Adventure Family Fantasy,Bryce Dallas Howard,Pete's Dragon,Isiah Whitlock Jr.,David Lowery Oona Laurence Bryce Dallas Howard Adventure Family Fantasy Isiah Whitlock Jr.
3130,David Cronenberg,Herbert Lom,Horror Sci-Fi Thriller,Tom Skerritt,The Dead Zone,Anthony Zerbe,David Cronenberg Herbert Lom Tom Skerritt Horror Sci-Fi Thriller Anthony Zerbe
3131,Ciarán Foy,James Ransone,Horror Mystery Thriller,Laila Haley,Sinister 2,Jaden Klein,Ciarán Foy James Ransone Laila Haley Horror Mystery Thriller Jaden Klein
3132,Salim Akil,Curtis Armstrong,Drama Music,Omari Hardwick,Sparkle,Mike Epps,Salim Akil Curtis Armstrong Omari Hardwick Drama Music Mike Epps
3133,Jamie Blanks,Jessica Capshaw,Horror Mystery Thriller,Marley Shelton,Valentine,Johnny Whitworth,Jamie Blanks Jessica Capshaw Marley Shelton Horror Mystery Thriller Johnny Whitworth
3134,Olatunde Osunsanmi,Will Patton,Mystery Sci-Fi Thriller,Milla Jovovich,The Fourth Kind,Hakeem Kae-Kazim,Olatunde Osunsanmi Will Patton Milla Jovovich Mystery Sci-Fi Thriller Hakeem Kae-Kazim
3135,Robert Altman,Virginia Madsen,Comedy Drama Music,Meryl Streep,A Prairie Home Companion,Lily Tomlin,Robert Altman Virginia Madsen Meryl Streep Comedy Drama Music Lily Tomlin
3136,Leon Ichaso,Clarence Williams III,Drama Thriller,Khandi Alexander,Sugar Hill,Steve Harris,Leon Ichaso Clarence Williams III Khandi Alexander Drama Thriller Steve Harris
3137,Joseph Zito,Richard Lynch,Action Thriller,Billy Drago,Invasion U.S.A.,Eddie Jones,Joseph Zito Richard Lynch Billy Drago Action Thriller Eddie Jones
3138,Malcolm D. Lee,Brandon T. Jackson,Comedy Drama Music Romance,Jurnee Smollett-Bell,Roll Bounce,Shad Moss,Malcolm D. Lee Brandon T. Jackson Jurnee Smollett-Bell Comedy Drama Music Romance Shad Moss
3139,Wes Anderson,Connie Nielsen,Comedy Drama,Bill Murray,Rushmore,Olivia Williams,Wes Anderson Connie Nielsen Bill Murray Comedy Drama Olivia Williams
3140,Colin Strause,Donald Faison,Action Sci-Fi Thriller,David Zayas,Skyline,Brittany Daniel,Colin Strause Donald Faison David Zayas Action Sci-Fi Thriller Brittany Daniel
3141,John Madden,Celia Imrie,Comedy Drama,Tina Desai,The Second Best Exotic Marigold Hotel,Ronald Pickup,John Madden Celia Imrie Tina Desai Comedy Drama Ronald Pickup
3142,Patricia Rozema,Jane Krakowski,Drama Family,Julia Ormond,Kit Kittredge: An American Girl,Willow Smith,Patricia Rozema Jane Krakowski Julia Ormond Drama Family Willow Smith
3143,Mark Rosman,Chris Noth,Comedy Family Romance,Ben Feldman,The Perfect Man,Vanessa Lengies,Mark Rosman Chris Noth Ben Feldman Comedy Family Romance Vanessa Lengies
3144,Spike Lee,Nicholas Turturro,Drama Music Romance,Denzel Washington,Mo' Better Blues,Charlie Murphy,Spike Lee Nicholas Turturro Denzel Washington Drama Music Romance Charlie Murphy
3145,Steve Oedekerk,Simon Rhee,Action Comedy,Steve Oedekerk,Kung Pow: Enter the Fist,Jennifer Tung,Steve Oedekerk Simon Rhee Steve Oedekerk Action Comedy Jennifer Tung
3146,Ron Underwood,Ariana Richards,Comedy Horror Sci-Fi,Reba McEntire,Tremors,Michael Gross,Ron Underwood Ariana Richards Reba McEntire Comedy Horror Sci-Fi Michael Gross
3147,Rob Schmidt,Lindy Booth,Horror Thriller,Kevin Zegers,Wrong Turn,Julian Richings,Rob Schmidt Lindy Booth Kevin Zegers Horror Thriller Julian Richings
3148,Walter Hill,David Carradine,Western,Dennis Quaid,The Long Riders,Randy Quaid,Walter Hill David Carradine Dennis Quaid Western Randy Quaid
3149,James Foley,Paul Ben-Victor,Action Crime Drama Mystery Thriller,Byron Mann,The Corruptor,Kim Chan,James Foley Paul Ben-Victor Byron Mann Action Crime Drama Mystery Thriller Kim Chan
3150,Jeff Nichols,Tye Sheridan,Drama,Matthew McConaughey,Mud,Sam Shepard,Jeff Nichols Tye Sheridan Matthew McConaughey Drama Sam Shepard
3151,Robert Ben Garant,Thomas Lennon,Comedy Crime,Wendi McLendon-Covey,Reno 911!: Miami,Carlos Alazraqui,Robert Ben Garant Thomas Lennon Wendi McLendon-Covey Comedy Crime Carlos Alazraqui
3152,Morgan Spurlock,Zayn Malik,Documentary Music,Harry Styles,One Direction: This Is Us,Niall Horan,Morgan Spurlock Zayn Malik Harry Styles Documentary Music Niall Horan
3153,Neal Brennan,Noureen DeWulf,Comedy,Rob Riggle,"The Goods: Live Hard, Sell Hard",Charles Napier,Neal Brennan Noureen DeWulf Rob Riggle Comedy Charles Napier
3154,Tuck Tucker,Vincent Schiavelli,Adventure Animation Comedy Family,Jennifer Jason Leigh,Hey Arnold! The Movie,Paul Sorvino,Tuck Tucker Vincent Schiavelli Jennifer Jason Leigh Adventure Animation Comedy Family Paul Sorvino
3155,Simon Curtis,Toby Jones,Biography Drama,Eddie Redmayne,My Week with Marilyn,Julia Ormond,Simon Curtis Toby Jones Eddie Redmayne Biography Drama Julia Ormond
3156,Richard Shepard,Philip Baker Hall,Comedy Crime Drama Thriller,Adam Scott,The Matador,Hope Davis,Richard Shepard Philip Baker Hall Adam Scott Comedy Crime Drama Thriller Hope Davis
3157,Theodore Witcher,Nia Long,Drama Romance,Leonard Roberts,Love Jones,Larenz Tate,Theodore Witcher Nia Long Leonard Roberts Drama Romance Larenz Tate
3158,Joel Edgerton,Allison Tolman,Mystery Thriller,Busy Philipps,The Gift,Wendell Pierce,Joel Edgerton Allison Tolman Busy Philipps Mystery Thriller Wendell Pierce
3159,Jim Hanon,Chad Allen,Adventure Drama,Chase Ellison,End of the Spear,Jack Guzman,Jim Hanon Chad Allen Chase Ellison Adventure Drama Jack Guzman
3160,Tommy O'Haver,Kirsten Dunst,Comedy Romance,Mila Kunis,Get Over It,Carmen Electra,Tommy O'Haver Kirsten Dunst Mila Kunis Comedy Romance Carmen Electra
3161,Mike Judge,Stephen Root,Comedy,Gary Cole,Office Space,Diedrich Bader,Mike Judge Stephen Root Gary Cole Comedy Diedrich Bader
3162,Michael Patrick Jann,Kirstie Alley,Comedy Romance Thriller,Kirsten Dunst,Drop Dead Gorgeous,Ellen Barkin,Michael Patrick Jann Kirstie Alley Kirsten Dunst Comedy Romance Thriller Ellen Barkin
3163,Tim Burton,Danny Huston,Biography Crime Drama Romance,Christoph Waltz,Big Eyes,Jon Polito,Tim Burton Danny Huston Christoph Waltz Biography Crime Drama Romance Jon Polito
3164,Peter Berg,Daniel Stern,Comedy Crime Thriller,Jon Favreau,Very Bad Things,Jeanne Tripplehorn,Peter Berg Daniel Stern Jon Favreau Comedy Crime Thriller Jeanne Tripplehorn
3165,Joe Nussbaum,Alexa PenaVega,Comedy Romance,Steve Carell,Sleepover,Hunter Parrish,Joe Nussbaum Alexa PenaVega Steve Carell Comedy Romance Hunter Parrish
3166,Brian De Palma,Dennis Franz,Mystery Thriller,Melanie Griffith,Body Double,Gregg Henry,Brian De Palma Dennis Franz Melanie Griffith Mystery Thriller Gregg Henry
3167,Jorma Taccone,Will Forte,Action Comedy Romance,Jasper Cole,MacGruber,Powers Boothe,Jorma Taccone Will Forte Jasper Cole Action Comedy Romance Powers Boothe
3168,Stephen Frears,Benedict Wong,Crime Drama Thriller,Sophie Okonedo,Dirty Pretty Things,Sergi López,Stephen Frears Benedict Wong Sophie Okonedo Crime Drama Thriller Sergi López
3169,Elizabeth Banks,Kate Winslet,Comedy,Hugh Jackman,Movie 43,Seth MacFarlane,Elizabeth Banks Kate Winslet Hugh Jackman Comedy Seth MacFarlane
3170,Florian Henckel von Donnersmarck,Angelina Jolie Pitt,Action Romance Thriller,Johnny Depp,The Tourist,Rufus Sewell,Florian Henckel von Donnersmarck Angelina Jolie Pitt Johnny Depp Action Romance Thriller Rufus Sewell
